Actual Delivery Date;CustomerKey;DateKey;Discount Amount;Invoice Date;Invoice Number;Item Class;Item Number;Item;Line Number;List Price;Order Number;Promised Delivery Date;Sales Amount;Sales Amount Based on List Price;Sales Cost Amount;Sales Margin Amount;Sales Price;Sales Quantity;Sales Rep;U/M
28/06/2019;10017072;28/06/2018;299,77;30/06/2018;100204;P01;20990;Moms Sliced Ham;1000;101;200214;28/06/2019;407,23;707;0;407,23;58,17571429;7;149;SE
14/07/2019;10017638;15/07/2018;2562,97;17/07/2018;100246;P01;20990;Moms Sliced Ham;4000;101;200261;14/07/2019;2487,03;5050;0;2487,03;49,7406;50;115;SE
13/08/2019;10017638;13/08/2018;-325,82;15/08/2018;100366;;;Excellent Cream Soda;7000;0;200392;13/08/2019;325,82;0;0;325,82;325,82;1;115;EA
01/09/2019;10017638;01/09/2018;-218,15;03/09/2018;100410;;;Jeffers Wheat Puffs;7000;0;200443;01/09/2019;218,15;0;0;218,15;218,15;1;115;EA
16/09/2019;10018644;16/09/2018;1312,81;18/09/2018;100462;P01;28401;Ebony Prepared Salad;3000;966,44;200495;16/09/2019;1586,51;2899,32;0;1586,51;528,8366667;3;139;EA
20/07/2019;10020927;20/07/2018;11811,846;22/07/2018;100265;P01;36001;Big Time Frozen Cheese Pizza;1000;392,9941;200291;20/07/2019;11767,8;23579,646;0;11767,8;196,13;60;144;EA
22/09/2019;10020927;22/09/2018;404,98;24/09/2018;100493;P01;64672;Even Better Whole Milk;1000;89,44;200527;22/09/2019;489,42;894,4;0;489,42;48,942;10;144;EA
11/06/2019;10021160;11/06/2018;;13/06/2018;100148;;;Ebony Fresh Lima Beans;1000;0;200159;11/06/2019;5000;0;0;5000;-5000;-1;119;EA
20/07/2019;10021485;20/07/2018;805,9472;22/07/2018;100264;;35197;Moms Turkey Hot Dogs;2000;384,5168;200290;20/07/2019;732,12;1538,0672;0;732,12;183,03;4;141;EA
06/10/2019;10021736;06/10/2018;457,17;08/10/2018;115307;;63680;Cutting Edge Low Fat Bologna;1000;98;212526;06/10/2019;522,83;980;0;522,83;52,283;10;139;EA
10/06/2019;10022431;10/06/2018;244,84;12/06/2018;100132;P01;38051;Gorilla 1% Milk;2000;577,46;200146;10/06/2019;332,62;577,46;0;332,62;332,62;1;113;EA
06/10/2019;10023495;06/10/2018;-1704;08/10/2018;115304;;;Fast Salted Pretzels;1000;0;212511;06/10/2019;1704;0;0;1704;1704;1;176;EA
13/07/2019;10023538;13/07/2018;987,54;15/07/2018;100242;P01;63560;Gorilla Low Fat String Cheese;2000;298;200257;13/07/2019;800,46;1788;0;800,46;133,41;6;143;EA
05/11/2019;10023715;05/11/2018;3118,5625;07/11/2018;100664;P01;32720;High Top Cauliflower;2000;50,9875;200710;05/11/2019;3356,85;6475,4125;0;3356,85;26,43188976;127;180;EA
12/07/2019;10024006;12/07/2018;168,44;14/07/2018;100234;P01;37170;Fast BBQ Potato Chips;1000;190,85;200247;12/07/2019;213,26;381,7;0;213,26;106,63;2;157;EA
10/11/2019;10024725;10/11/2018;173,25;12/11/2018;118439;P01;26629;Gorilla Havarti Cheese;1000;288,73;215114;10/11/2019;692,94;866,19;0;692,94;230,98;3;168;EA
17/05/2019;10025049;17/05/2018;618,52;19/05/2018;102654;P01;28401;Ebony Prepared Salad;1000;966,44;203310;17/05/2019;347,92;966,44;0;347,92;347,92;1;113;EA
28/05/2019;10025049;28/05/2018;726,25;30/05/2018;103775;P01;48500;Red Spade Low Fat Cole Slaw;1000;1134,77;204063;28/05/2019;408,52;1134,77;0;408,52;408,52;1;113;EA
15/06/2019;10025049;15/06/2018;-338;17/06/2018;105378;;;Moms Sliced Chicken;2000;0;205153;15/06/2019;338;0;0;338;338;1;113;EA
08/07/2019;10025049;08/07/2018;399,15;10/07/2018;107331;P01;60900;Best Choice Sugar Cookies;2000;623,67;206485;08/07/2019;224,52;623,67;0;224,52;224,52;1;113;EA
19/07/2019;10025049;20/07/2018;-250,11;22/07/2018;108303;;25870;Club Sharp Cheddar Cheese;2000;0;207109;19/07/2019;250,11;0;0;250,11;250,11;1;113;EA
27/07/2019;10025049;27/07/2018;-220;29/07/2018;108929;;;Club Chocolate Milk;1000;0;207632;27/07/2019;220;0;0;220;220;1;113;EA
10/08/2019;10025049;10/08/2018;527,97;12/08/2018;110246;P01;20910;Moms Sliced Turkey;1000;824,96;208572;10/08/2019;296,99;824,96;0;296,99;296,99;1;113;EA
11/08/2019;10025049;11/08/2018;1041,82;13/08/2018;110389;P01;47801;Red Spade Foot-Long Hot Dogs;1000;1627,84;208678;11/08/2019;586,02;1627,84;0;586,02;586,02;1;113;EA
13/08/2019;10025049;13/08/2018;742,85;15/08/2018;110640;P01;47550;Red Spade Turkey Hot Dogs;2000;1160,7;208897;13/08/2019;417,85;1160,7;0;417,85;417,85;1;113;EA
13/08/2019;10025049;13/08/2018;915,99;15/08/2018;110637;P01;17801;Better Fancy Canned Sardines;1000;1431,23;208881;13/08/2019;515,24;1431,23;0;515,24;515,24;1;113;EA
13/08/2019;10025049;13/08/2018;915,99;15/08/2018;110640;P01;17801;Better Fancy Canned Sardines;1000;1431,23;208897;13/08/2019;515,24;1431,23;0;515,24;515,24;1;113;EA
17/08/2019;10025049;17/08/2018;-220;19/08/2018;110864;;;American Turkey Hot Dogs;1000;0;209127;17/08/2019;220;0;0;220;220;1;113;EA
17/08/2019;10025049;18/08/2018;694,15;20/08/2018;110945;P01;27550;Imagine Popsicles;1000;1084,61;209088;17/08/2019;390,46;1084,61;0;390,46;390,46;1;113;EA
24/08/2019;10025049;25/08/2018;742,85;27/08/2018;111545;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;209548;24/08/2019;417,85;1160,7;0;417,85;417,85;1;113;EA
26/08/2019;10025049;07/09/2018;694,15;09/09/2018;112550;P01;27550;Imagine Popsicles;2000;1084,61;209735;26/08/2019;390,46;1084,61;0;390,46;390,46;1;113;EA
26/08/2019;10025049;07/09/2018;915,99;09/09/2018;112550;P01;17801;Better Fancy Canned Sardines;1000;1431,23;209735;26/08/2019;515,24;1431,23;0;515,24;515,24;1;113;EA
22/07/2019;10025049;07/09/2018;-417,85;09/09/2018;112526;;;Big Time Frozen Broccoli;1000;0;207345;22/07/2019;417,85;0;0;417,85;417,85;1;113;EA
09/09/2019;10025049;10/09/2018;2083,64;12/09/2018;112932;P01;47801;Red Spade Foot-Long Hot Dogs;1000;1627,84;210638;09/09/2019;1172,04;3255,68;0;1172,04;586,02;2;113;EA
07/10/2019;10025049;07/10/2018;694,15;09/10/2018;115422;P01;27550;Imagine Popsicles;4000;1084,61;212590;07/10/2019;390,46;1084,61;0;390,46;390,46;1;113;EA
07/10/2019;10025049;07/10/2018;618,52;09/10/2018;115422;P01;28401;Ebony Prepared Salad;3000;966,44;212590;07/10/2019;347,92;966,44;0;347,92;347,92;1;113;EA
15/10/2019;10025049;15/10/2018;802,6799;17/10/2018;116088;P01;37441;Atomic Mint Chocolate Bar;3000;1254,1899;212582;15/10/2019;451,51;1254,1899;0;451,51;451,51;1;113;EA
26/10/2019;10025049;26/10/2018;742,85;28/10/2018;117039;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;213960;26/10/2019;417,85;1160,7;0;417,85;417,85;1;113;EA
27/10/2019;10025049;27/10/2018;742,85;29/10/2018;117157;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;214064;27/10/2019;417,85;1160,7;0;417,85;417,85;1;113;EA
28/10/2019;10025049;27/10/2018;915,99;29/10/2018;117173;P01;17801;Better Fancy Canned Sardines;1000;1431,23;214132;28/10/2019;515,24;1431,23;0;515,24;515,24;1;113;EA
29/10/2019;10025049;27/10/2018;1041,82;29/10/2018;117144;P01;47801;Red Spade Foot-Long Hot Dogs;1000;1627,84;213965;29/10/2019;586,02;1627,84;0;586,02;586,02;1;113;EA
29/10/2019;10025049;10/11/2018;405,83;12/11/2018;118349;P01;30500;Blue Label Canned Beets;1000;634,11;213984;29/10/2019;228,28;634,11;0;228,28;228,28;1;113;EA
27/05/2019;10025063;31/05/2018;16812,48;02/06/2018;100093;;62058;Big Time Popsicles;2000;1293;200101;27/05/2019;14219,52;31032;0;14219,52;592,48;24;162;EA
08/10/2019;10025063;08/10/2018;1667,19;10/10/2018;100544;;64798;American Roasted Chicken;2000;456,57;200584;08/10/2019;1528,8;3195,99;0;1528,8;218,4;7;162;EA
01/09/2019;10025241;01/09/2018;1,45519E-11;03/09/2018;111999;;62846;Fast Mini Donuts;1000;186,04;210102;01/09/2019;74416;74416;0;74416;186,04;400;153;EA
21/05/2019;10025248;21/05/2018;340,84;23/05/2018;100080;P01;61762;Carlson Blueberry Yogurt;2000;803,86;200086;21/05/2019;463,02;803,86;0;463,02;463,02;1;145;EA
09/06/2019;10025304;08/06/2018;915,99;10/06/2018;104741;P01;17801;Better Fancy Canned Sardines;1000;1431,23;204698;09/06/2019;515,24;1431,23;0;515,24;515,24;1;163;EA
28/09/2019;10025304;27/09/2018;694,15;29/09/2018;114483;P01;27550;Imagine Popsicles;5000;1084,61;211832;28/09/2019;390,46;1084,61;0;390,46;390,46;1;163;EA
28/09/2019;10025304;27/09/2018;618,52;29/09/2018;114483;P01;28401;Ebony Prepared Salad;3000;966,44;211832;28/09/2019;347,92;966,44;0;347,92;347,92;1;163;EA
13/10/2019;10025304;13/10/2018;915,99;15/10/2018;115918;P01;17801;Better Fancy Canned Sardines;1000;1431,23;213008;13/10/2019;515,24;1431,23;0;515,24;515,24;1;163;EA
26/10/2019;10025304;26/10/2018;694,15;28/10/2018;117055;P01;27550;Imagine Popsicles;1000;1084,61;214005;26/10/2019;390,46;1084,61;0;390,46;390,46;1;163;EA
26/10/2019;10025304;26/10/2018;694,15;28/10/2018;117054;P01;27550;Imagine Popsicles;1000;1084,61;214004;26/10/2019;390,46;1084,61;0;390,46;390,46;1;163;EA
26/10/2019;10025304;26/10/2018;618,52;28/10/2018;117048;P01;28401;Ebony Prepared Salad;1000;966,44;213978;26/10/2019;347,92;966,44;0;347,92;347,92;1;163;EA
26/10/2019;10025304;26/10/2018;742,85;28/10/2018;117052;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;213989;26/10/2019;417,85;1160,7;0;417,85;417,85;1;163;EA
26/10/2019;10025304;26/10/2018;1041,82;28/10/2018;117049;P01;47801;Red Spade Foot-Long Hot Dogs;1000;1627,84;213979;26/10/2019;586,02;1627,84;0;586,02;586,02;1;163;EA
28/10/2019;10025304;27/10/2018;742,85;29/10/2018;117172;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;214126;28/10/2019;417,85;1160,7;0;417,85;417,85;1;163;EA
31/05/2019;10025549;31/05/2018;195,39;02/06/2018;100094;P01;24335;Kiwi Scallops;2000;217,1;200105;31/05/2019;238,81;434,2;0;238,81;119,405;2;103;EA
08/07/2019;10025549;08/07/2018;209,98;10/07/2018;107328;P01;24336;Fast Low Fat Cookies;1000;219,99;206466;08/07/2019;230;439,98;0;230;115;2;103;EA
28/10/2019;10025552;28/10/2018;-1059,54;30/10/2018;100643;;;Token Orange Juice;6000;0;200687;28/10/2019;1059,54;0;0;1059,54;1059,54;1;180;EA
06/08/2019;10026336;06/08/2018;2991,49;08/08/2018;100329;P01;67550;Discover Manicotti;2000;1275,1;200355;06/08/2019;3384,01;6375,5;0;3384,01;676,802;5;130;EA
27/09/2019;10027370;27/09/2018;23533,99;29/09/2018;100510;P01;285002;Fabulous Cola;1000;1051;200543;27/09/2019;26914,01;50448;0;26914,01;560,7085417;48;107;EA
27/09/2019;10027370;27/09/2018;8041,79;29/09/2018;100510;P01;275502;Fabulous Cream Soda;3000;1077,41;200543;27/09/2019;9196,77;17238,56;0;9196,77;574,798125;16;107;EA
27/09/2019;10027370;27/09/2018;8699,22;29/09/2018;100510;P01;265012;BBB Best Extra Chunky Peanut Butter;5000;1165,49;200543;27/09/2019;9948,62;18647,84;0;9948,62;621,78875;16;107;EA
30/12/2018;10000460;30/12/2017;158,04;01/01/2018;119156;P01;29071;Nationeel Salted Pretzels;8000;181,44;216666;30/12/2018;204,84;362,88;59,73;145,11;102,42;2;154;SE
30/12/2018;10000460;30/12/2017;420,9;01/01/2018;119156;P01;28401;Ebony Prepared Salad;4000;966,44;216666;30/12/2018;545,54;966,44;278,38;267,16;545,54;1;154;EA
30/12/2018;10000460;30/12/2017;663,41;01/01/2018;119156;P01;29255;Thresher Spicy Mints;9000;507,75;216666;30/12/2018;859,84;1523,25;488,68;371,16;286,6133333;3;154;EA
30/12/2018;10000460;30/12/2017;179,45;01/01/2018;119156;P01;36001;Big Time Frozen Cheese Pizza;12000;412,03;216666;30/12/2018;232,58;412,03;84,23;148,35;232,58;1;154;EA
